"","X","X_id","标题","标题链接","居室数","厅堂数","卫生间数","总面积","朝向","楼层位置","建造年份","小区","区","街道","地址","关键词","价格","单价","关键字1","关键字2","关键字3","关键字4","装修","字段12","详情1","详情2","详情3","详情4","详情5","产权性质","物业类型","产权年限","房本年限","参考预算","小区均价","小区户数","物业费用","绿化率","小区解读1","小区解读2","小区解读3","小区解读4","小区解读5","小区解读6","代理情况","代理情况2","安选"
"1","0","666d2136dacf8deaac141265","扫码唻电联系房东，真的急疯了，这价格还卖不掉房东说要刀了我！","https://shanghai.anjuke.com/prop/view/S3168823151092742",2,1,1,"17.7㎡","南北","中层(共11层)","2018年建造","虹中路2弄小区","闵行","虹桥","虹中路2弄","南北;满五年;近地铁;车位充足",50,"28249元/㎡","南北","满五年","近地铁","车位充足","精装修","2018年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","车位充足","商品房住宅","普通住宅","70年产权","满五年","首付10万，月供1796元","28445元/㎡","50户","0.4 元/平米/月","30.00%","轨道交通   小区西面1.5公里是10号线龙柏新村站，小区南面1公里是九号线漕河泾开发区站，小区对面是公交车站台","小区户型   热门户型为40-80方的两居室户型，楼距90米。","居民素质   业主自住较多，租客相对较少，整体素质较高，邻里关系和谐","小区不足   小区不足，小区车位相对较少，业主私家车很多，车位万高峰管理混乱，有待改善","","","1家门店、4位经纪人正代理本房","全部经纪人","实地核验"
"2","1","666d2136dacf8deaac141266","正南 3室2厅 万科海上传奇(一二期)","https://shanghai.anjuke.com/prop/view/S3242468048445443",3,2,1,"97.48㎡","南","低层(共22层)","2014年建造","万科海上传奇(一二期)","浦东","御桥","御桥路1679弄1-38号","南;热门小区;近地铁;价格优惠",910,"93353元/㎡","南","热门小区","近地铁","价格优惠","简单装修","2014年竣工/普通住宅
            ","满二年","有电梯","近地铁","绿化率高","","商品房住宅","普通住宅","70年产权","满二年","首付182万，月供32690元","103551元/㎡","2336户","3.0 元/平米/月","45.00%","轨道交通   出小区门口50米即是11号线御桥路站，多路公交四通八达","小区户型   小区为85--90的两房，104-127的三房以及158的4房，小区豪华气派，楼间距大，小区绿化率高","小区设施   小区进门处有900平绿地 绿地周边设有儿童滑梯，跷跷板等娱乐设施，平时放假时都会有很多小朋友玩耍","生活配套   出小区门50米是2049商业广场，南800米为东郊百联","小区不足   小区北门靠高压，车位有点紧张，物业费较高  车位紧张","","3家门店、6位经纪人正代理本房","全部经纪人","实地核验"
"3","2","666d2137dacf8deaac141267","虹浦新城南区 通透三房 预约看房","https://shanghai.anjuke.com/prop/view/S3581620047979529",3,1,1,"93.38㎡","南北","高层(共11层)","2007年建造","虹浦新城(南区)","闵行","浦江","浦涛路505弄","南北;有电梯;近地铁",355,"38017元/㎡","南北","有电梯","近地铁","","毛坯","2007年竣工/普通住宅
            ","有电梯","近地铁","","","","商品房住宅","普通住宅","暂无","","首付71万，月供12753元","34202元/㎡","1731户","1.25 元/平米/月","30.00%","轨道交通   小区距离浦江线延长线闵瑞路地铁站500米左右。小区门口有公交站台，交通便利","小区户型   小区属于商品房  楼层分别属于9层11层14层的电梯房  一房两房三房都有。间距大概在30—50米","小区设施   小区中心有花园 内部有儿童设施 老年活动设施  小区内部有菜市场，小吃店，干洗店。等商业设施","房屋品质   小区为2008年商品房小区，品质还是可以的，","居民素质   小区因为近地铁租住比较大，但大多数为房东自住。","小区不足   小区居住人员多  车位紧张","6家门店、12位经纪人正代理本房","全部经纪人","实地核验"
"4","3","666d2137dacf8deaac141268","18号地铁口！进才  ，南北通透沉香苑，房东置换急 售","https://shanghai.anjuke.com/prop/view/S3584877763795975",2,2,1,"90.25㎡","南北","中层(共11层)","2013年建造","沉香苑一街坊","浦东","航头","航瑞路389弄","南北;满五年;近地铁;户型方正",286,"31690元/㎡","南北","满五年","近地铁","户型方正","精装修","2013年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","户型方正","商品房住宅","普通住宅","70年产权","满五年","首付57万，月供10274元","35224元/㎡","971户","1.2 元/平米/月","35.00%","轨道交通   小区东门右转30米有1109到鹤沙航城16号线，18号线鹤涛路站仅仅100米交通便利周边","小区户型   小高层总高11楼，楼梯房总高六楼，小高层是两梯四户，楼梯房是一梯两户，南北通透","小区设施   小区绿化率高，四面环水，小区有凉亭，还有儿童滑滑梯等设施","小区不足   周边没有大型商场，租客比较多","","","6家门店、18位经纪人正代理本房","全部经纪人","实地核验"
"5","4","666d2137dacf8deaac141269","市区独栋别墅！送400平大花园！自带私家游泳池！位置不靠马路","https://shanghai.anjuke.com/prop/view/S3318921605585922",5,3,3,"300㎡","南","共2层","2010年建造","虹梅别墅","闵行","虹桥","虹梅路2989弄1-79号","南;满五年;近地铁;车位充足",4100,"136667元/㎡","南","满五年","近地铁","车位充足","精装修","2010年竣工/别墅
            ","满五年","唯一住房","近地铁","车位充足","","商品房住宅","别墅","70年产权","满五年","首付820万，月供147287元","188277元/㎡","68户","5.5 元/平米/月","43.00%","轨道交通   600米到延安西路71路无轨电车，1000米到10号线龙溪路站","小区户型   小区总共有68栋别墅，户型分别为233平，261平，288平，321平，360平等，花园300平左右","小区设施   小区带有室外泳池，健身房，会所车位配比达到1:2.绿化好","生活配套   500米有超市，400米有高尔夫球场，600米有星巴克，配套非常齐全","房屋品质   上海中祥集团有限公司开发建设，于1994年交房主体采用钢筋混凝土的框架结构，外立面有优良的防水防潮","小区不足   小区建造年代比较久，路窄，绿化也比较少","5家门店、8位经纪人正代理本房","全部经纪人","实地核验"
"6","5","666d2138dacf8deaac14126a","陆家嘴一线江景，送豪华装修产权车位！户型正气双南朝向！","https://shanghai.anjuke.com/prop/view/S3498430316979214",2,2,2,"116㎡","南北","高层(共12层)","2020年建造","凯旋汇","浦东","八佰伴","张杨路98号","南北;满五年;近地铁;车位充足",348,"30000元/㎡","南北","满五年","近地铁","车位充足","豪华装修","2020年竣工/公寓
            ","满五年","唯一住房","有电梯","近地铁","车位充足","商住两用","公寓","50年产权","满五年","首付174万，月供17206元","91494元/㎡","234户","暂无","35.00%","轨道交通   小区出门步行800米有地铁9号线和2号线","小区户型   小区67㎡一房，和107-127㎡两房，高层总高26楼，单栋，前后楼间距大","其他描述   小区物业是启胜物业，物业费28元，包含3张会所会员卡，有大堂礼宾和管家，服务周到","小区设施   小区内有6000平方会所，设施完善，有儿童娱乐设施，健身器材，图书馆等","生活配套   小区出门步行0.5km到达老佛爷购物商场、盒马鲜生，2公里到达仁济医院东院","小区不足   小区车位紧张，有时无法满足多台车的需求","1家门店、5位经纪人正代理本房","全部经纪人","实地核验"
"7","6","666d2138dacf8deaac14126b","长达佳苑(公寓住宅) 精装可拎包入住 中间楼层 双卫生间","https://shanghai.anjuke.com/prop/view/S3502393448064007",3,2,2,"121.42㎡","南北","中层(共6层)","2005年建造","长达佳苑(公寓住宅)","浦东","航头","航梅路525弄1支弄,航梅路525弄2支弄,航梅路525弄4支弄,航梅路525弄5支弄,航梅路525弄6支弄","南北;满五年",305,"25120元/㎡","南北","满五年","","","精装修","2005年竣工/普通住宅
            ","满五年","唯一住房","","","","商品房住宅","普通住宅","70年产权","满五年","首付61万，月供10957元","28649元/㎡","1978户","0.75 元/平米/月","43.00%","轨道交通   小区门口100米就是公交站台，183路直达8号线沈杜公路站和18号线航头站，交通非常方便","小区户型   小区均为多层房，1-2支弄动迁房，3支弄动迁联排别墅，4支弄商品房别墅部分商品住宅，5-6商品房住宅","小区设施   进小区就有大花园，和休息区，还有老年文化广场和老年活动室，健身器材小区都有","生活配套   小区自带中型超市，门口50米菜市场，药店，饭店，生活设施基本应有尽有","小区不足   长达佳苑04年小区对比周边小区较老，小区动迁房价格便宜租客较多","","8家门店、19位经纪人正代理本房","全部经纪人","实地核验"
"8","7","666d2138dacf8deaac14126c","02年房龄 三开间的大院子 交通便利 户型方正 南北通透","https://shanghai.anjuke.com/prop/view/S3339810206785537",3,2,1,"88.32㎡","南","低层(共6层)","2002年建造","上虹新村七八九街坊","闵行","虹桥","莲花路2150弄","南;近地铁",618,"69973元/㎡","南","近地铁","","","简单装修","2002年竣工/普通住宅
            ","近地铁","","","","","其它","普通住宅","70年产权","","首付123万，月供22201元","56506元/㎡","636户","0.6 元/平米/月","35.00%","轨道交通   小区出门右拐500米就到达九号线漕河泾开发区站5号口，门口就有公交站，交通便利","其他描述   小区一共俩个门，环镇南路为北门，可出入莲花路为西门，也可出入","生活配套   小区到莲花广场200m，距离虹桥医院600m三公里内有爱琴海购物公园和万象城","房屋品质   小区开发商是虹桥置业开发有限公司，物业是上海锦润物业小区环境很不错，前后楼间距大，绿化高道路干净","小区不足   小区车位少无地下车库 是动迁房 人员复杂 绿化不高 一般靠马路会吵","","","全部经纪人","实地核验"
"9","8","666d2138dacf8deaac14126d","急！亲水湾高区！14年次新房！带车位！近地铁南北通！踏空急售","https://shanghai.anjuke.com/prop/view/S3356895141272582",2,1,1,"74.41㎡","南","高层(共20层)","2012年建造","绿洲康城亲水湾(中区)","浦东","御桥","康桥路1558弄","南;唯一住房;车位充足",428,"57520元/㎡","南","唯一住房","车位充足","","精装修","2012年竣工/普通住宅
            ","唯一住房","有电梯","车位充足","","","其它","普通住宅","70年产权","","首付85万，月供15375元","63473元/㎡","4001户","1.77 元/平米/月","43.00%","轨道交通   小区步行1000米左右可到达11号线和16号线罗山站，门口公交车779，1051号等等可直达市区","小区户型   小区有67平一房，89-103平两房，129-134平的三房，主要户型双南两房","其他描述   开发商是:上海振龙房地产开发有限公司rn物业公司:上海中远物业管理有限公司rn物业费:每平每月1.5元","生活配套   小区生活配套齐全，出门往西100米是亲水湾生活广场，出门往东100米是亲水湾永乐街，吃喝玩乐应有竟有","房屋品质   由本地开发商振龙房地产开发有限公司开发，07年毛坯交房，近外环，有隔音板有效隔绝噪音","小区不足   小区业主的车比较，在部分业主都好辆车，所以车位紧张","4家门店、6位经纪人正代理本房","全部经纪人","实地核验"
"10","9","666d2138dacf8deaac14126e","汇颂南苑 南北通透 带电梯 楼层好 交通便利 商品房","https://shanghai.anjuke.com/prop/view/S3567965115603976",2,1,1,"75.65㎡","南北","中层(共11层)","2008年建造","汇颂南苑","闵行","浦江","浦连路789弄1-36号","南北;满五年;近地铁",223,"29478元/㎡","南北","满五年","近地铁","","简单装修","2008年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","","商品房住宅","普通住宅","70年产权","满五年","首付44万，月供8011元","34759元/㎡","758户","1.25 元/平米/月","40.00%","轨道交通   距离闵瑞路地铁站100米，可换成8号线，有3条公交线路经过可以直接到达沈杜公路地铁站。","小区户型   小区均为一梯两户跟一梯四户，南北通透，主推两房，73平两房一卫，76平电梯两房一卫，适合改善需求。","小区设施   小区中心有中心大花园，花园旁边有儿童滑梯，跷跷板等娱乐设施，很多小朋友放学后在此玩耍交朋友。","生活配套   向东边两公里内有满天星生活广场，共有四层，一楼超市轻餐饮等，二楼三楼儿童游玩空间，四楼重餐饮大包间等","居民素质   小区老人会相对多一些，小住户多都是一家四口居住，有老人在家帮忙带孩子，居住气氛浓厚。","小区不足   地下车位目前不足，小区整理车辆太多，有待物业调整解决，","9家门店、16位经纪人正代理本房","全部经纪人","实地核验"
